merchant_id,merchant_segment,region,month,transaction_volume,gross_revenue,operating_cost,chargebacks,sla_breaches,budget_revenue
24,SME,India,2025-06-01,16845,269.52,137.72,24,1,274.51
25,SME,APAC,2025-01-01,30592,489.47,305.39,73,1,492.84
25,SME,APAC,2025-02-01,32385,518.16,353.92,36,0,523.31
25,SME,APAC,2025-03-01,30764,492.22,314.23,58,1,511.64
25,SME,APAC,2025-04-01,31065,497.04,305.6,98,0,498.99
25,SME,APAC,2025-05-01,32523,520.37,330.59,65,0,530.27
25,SME,APAC,2025-06-01,31241,499.86,250.94,93,1,505.54
26,SME,Americas,2025-01-01,13143,210.29,113.39,39,0,208.56
26,SME,Americas,2025-02-01,14087,225.39,123.52,42,1,229.56
26,SME,Americas,2025-03-01,12818,205.09,145.35,36,0,205.06
26,SME,Americas,2025-04-01,15078,241.25,172.32,33,1,237.43
26,SME,Americas,2025-05-01,14328,229.25,143.61,33,2,235.95
26,SME,Americas,2025-06-01,14829,237.26,149.88,29,0,233.43
27,Enterprise,APAC,2025-01-01,417971,3761.74,2495.99,1374,6,3744.4
27,Enterprise,APAC,2025-02-01,478039,4302.35,2907.76,1712,1,4163.99
27,Enterprise,APAC,2025-03-01,455778,4102.0,2795.11,644,5,4264.32
27,Enterprise,APAC,2025-04-01,508234,4574.11,3219.7,2003,5,4382.26
27,Enterprise,APAC,2025-05-01,411244,3701.2,1933.23,933,10,3826.68
27,Enterprise,APAC,2025-06-01,459323,4133.91,2035.29,1385,10,4143.71
28,SME,APAC,2025-01-01,12273,196.37,96.75,12,0,194.98
28,SME,APAC,2025-02-01,12793,204.69,130.29,44,0,203.19
28,SME,APAC,2025-03-01,11557,184.91,125.29,30,1,184.0
28,SME,APAC,2025-04-01,13743,219.89,119.13,44,0,219.92
28,SME,APAC,2025-05-01,14021,224.34,127.49,23,0,224.44
28,SME,APAC,2025-06-01,13357,213.71,106.99,20,0,220.31
29,SME,EMEA,2025-01-01,38577,617.23,362.74,84,3,595.25
29,SME,EMEA,2025-02-01,38971,623.54,342.56,124,1,669.51
29,SME,EMEA,2025-03-01,43267,692.27,336.71,49,1,689.84
29,SME,EMEA,2025-04-01,37711,603.38,399.38,131,1,610.01
29,SME,EMEA,2025-05-01,40520,648.32,360.17,109,1,648.11
29,SME,EMEA,2025-06-01,36960,591.36,410.81,108,0,588.86
30,SME,Americas,2025-01-01,24105,385.68,205.04,66,0,374.96
30,SME,Americas,2025-02-01,24959,399.34,201.19,40,0,404.37
30,SME,Americas,2025-03-01,23115,369.84,253.88,45,0,360.08
30,SME,Americas,2025-04-01,25884,414.14,225.11,73,0,411.83
30,SME,Americas,2025-05-01,22405,358.48,180.66,29,0,334.28
30,SME,Americas,2025-06-01,21845,349.52,239.27,71,1,357.73
31,SME,India,2025-01-01,20239,323.82,200.27,69,0,312.91
31,SME,India,2025-02-01,19606,313.7,187.74,76,0,316.78
31,SME,India,2025-03-01,20014,320.22,163.55,39,0,335.13
31,SME,India,2025-04-01,22170,354.72,220.44,46,0,365.84
31,SME,India,2025-05-01,20910,334.56,235.0,79,0,318.91
31,SME,India,2025-06-01,21847,349.55,215.43,52,1,342.96
32,SME,India,2025-01-01,19629,314.06,205.25,42,0,309.85
32,SME,India,2025-02-01,20064,321.02,173.92,69,2,335.82
32,SME,India,2025-03-01,21571,345.14,198.18,81,1,338.93
32,SME,India,2025-04-01,21743,347.89,213.97,23,2,356.2
32,SME,India,2025-05-01,20174,322.78,215.87,40,1,330.76
32,SME,India,2025-06-01,20284,324.54,168.29,67,0,327.05
33,Enterprise,India,2025-01-01,396755,3570.79,2223.26,1441,8,3533.56
33,Enterprise,India,2025-02-01,396281,3566.53,2392.21,1392,4,3407.64
33,Enterprise,India,2025-03-01,446193,4015.74,2085.03,1340,5,4000.82
33,Enterprise,India,2025-04-01,436752,3930.77,2211.43,563,10,3868.66
33,Enterprise,India,2025-05-01,399389,3594.5,2552.42,447,6,3672.34
33,Enterprise,India,2025-06-01,461407,4152.66,2148.51,1201,7,4199.62
34,Enterprise,India,2025-01-01,443777,3993.99,2712.74,1743,11,3784.05
34,Enterprise,India,2025-02-01,425454,3829.09,1920.44,524,5,3614.14
34,Enterprise,India,2025-03-01,462890,4166.01,2218.35,1179,5,4093.44
34,Enterprise,India,2025-04-01,438168,3943.51,2756.47,1144,8,4061.28
34,Enterprise,India,2025-05-01,444021,3996.19,2281.0,1470,6,4074.67
34,Enterprise,India,2025-06-01,439244,3953.2,2786.22,686,7,3874.38
35,SME,EMEA,2025-01-01,26779,428.46,210.89,105,0,424.52
35,SME,EMEA,2025-02-01,26173,418.77,207.07,90,1,437.2
35,SME,EMEA,2025-03-01,26819,429.1,294.15,77,0,433.7
35,SME,EMEA,2025-04-01,28272,452.35,321.41,59,0,465.77
35,SME,EMEA,2025-05-01,27028,432.45,284.02,64,0,409.52
35,SME,EMEA,2025-06-01,27121,433.94,228.97,78,2,461.23
36,Enterprise,Americas,2025-01-01,296047,2664.42,1617.45,1080,6,2615.16
36,Enterprise,Americas,2025-02-01,289204,2602.84,1593.09,900,7,2706.31
36,Enterprise,Americas,2025-03-01,294314,2648.83,1568.63,640,5,2720.0
36,Enterprise,Americas,2025-04-01,260616,2345.54,1258.71,857,11,2195.33
36,Enterprise,Americas,2025-05-01,298469,2686.22,1552.01,807,10,2677.76
36,Enterprise,Americas,2025-06-01,309276,2783.48,1963.23,629,4,2734.9
37,SME,India,2025-01-01,33427,534.83,279.24,114,0,528.54
37,SME,India,2025-02-01,34933,558.93,359.2,120,0,548.29
37,SME,India,2025-03-01,32672,522.75,284.12,74,0,523.14
37,SME,India,2025-04-01,34309,548.94,365.18,73,1,549.42
37,SME,India,2025-05-01,36475,583.6,419.36,40,0,580.92
37,SME,India,2025-06-01,35645,570.32,285.94,77,1,586.45
38,SME,EMEA,2025-01-01,19632,314.11,199.19,60,1,317.13
38,SME,EMEA,2025-02-01,21372,341.95,184.31,68,1,354.92
38,SME,EMEA,2025-03-01,19619,313.9,164.64,46,0,315.74
38,SME,EMEA,2025-04-01,20891,334.26,224.84,37,0,333.83
38,SME,EMEA,2025-05-01,21204,339.26,239.69,46,0,321.17
38,SME,EMEA,2025-06-01,21463,343.41,167.73,31,1,355.52
39,Enterprise,EMEA,2025-01-01,453049,4077.44,2006.62,1632,10,4138.97
39,Enterprise,EMEA,2025-02-01,369018,3321.16,1688.09,632,10,3359.87
39,Enterprise,EMEA,2025-03-01,382748,3444.73,2250.24,1436,8,3372.53
39,Enterprise,EMEA,2025-04-01,417801,3760.21,2689.28,1525,6,3590.93
39,Enterprise,EMEA,2025-05-01,398158,3583.42,2204.68,990,3,3568.22
39,Enterprise,EMEA,2025-06-01,437996,3941.96,1940.28,1423,8,3966.04
40,Enterprise,APAC,2025-01-01,333265,2999.38,1822.38,809,7,2908.26
40,Enterprise,APAC,2025-02-01,379499,3415.49,2395.13,757,3,3347.59
40,Enterprise,APAC,2025-03-01,413370,3720.33,1851.88,577,11,3628.84
40,Enterprise,APAC,2025-04-01,379211,3412.9,1763.95,659,7,3333.6
40,Enterprise,APAC,2025-05-01,365441,3288.97,1811.58,989,9,3185.18
40,Enterprise,APAC,2025-06-01,374391,3369.52,1687.49,624,11,3256.16
41,Mid-Market,India,2025-01-01,93867,1126.4,789.84,232,3,1160.72
41,Mid-Market,India,2025-02-01,98026,1176.31,564.79,225,2,1164.76
41,Mid-Market,India,2025-03-01,106097,1273.16,898.67,159,3,1276.69
41,Mid-Market,India,2025-04-01,96622,1159.46,808.6,241,4,1159.21
41,Mid-Market,India,2025-05-01,107798,1293.58,801.74,429,5,1318.59
41,Mid-Market,India,2025-06-01,102187,1226.24,677.83,237,5,1241.49
42,Mid-Market,India,2025-01-01,120237,1442.84,951.99,240,1,1480.89
42,Mid-Market,India,2025-02-01,112693,1352.32,793.96,189,2,1379.15
42,Mid-Market,India,2025-03-01,117905,1414.86,901.85,215,0,1435.03
42,Mid-Market,India,2025-04-01,117598,1411.18,684.72,417,2,1365.26
42,Mid-Market,India,2025-05-01,130416,1564.99,1052.71,479,0,1555.18
42,Mid-Market,India,2025-06-01,125945,1511.34,924.76,182,3,1463.08
43,SME,EMEA,2025-01-01,18862,301.79,161.11,21,0,297.65
43,SME,EMEA,2025-02-01,17697,283.15,165.76,51,1,269.89
43,SME,EMEA,2025-03-01,18085,289.36,146.03,43,1,287.05
43,SME,EMEA,2025-04-01,17095,273.52,161.15,38,0,264.69
43,SME,EMEA,2025-05-01,17119,273.9,144.71,64,0,278.99
43,SME,EMEA,2025-06-01,16585,265.36,128.14,54,3,269.75
44,Mid-Market,India,2025-01-01,149681,1796.17,1108.67,218,1,1851.5
44,Mid-Market,India,2025-02-01,139601,1675.21,994.06,353,3,1712.02
44,Mid-Market,India,2025-03-01,141163,1693.96,1001.71,540,3,1634.91
44,Mid-Market,India,2025-04-01,149209,1790.51,1125.3,564,3,1693.67
44,Mid-Market,India,2025-05-01,148630,1783.56,1001.53,180,3,1748.57
44,Mid-Market,India,2025-06-01,156101,1873.21,1278.01,365,2,1882.44
45,SME,APAC,2025-01-01,12071,193.14,94.9,22,0,190.65
45,SME,APAC,2025-02-01,13031,208.5,126.19,23,0,219.11
45,SME,APAC,2025-03-01,11692,187.07,119.04,15,0,195.91
45,SME,APAC,2025-04-01,12838,205.41,118.02,44,0,203.86
45,SME,APAC,2025-05-01,12039,192.62,93.47,30,0,187.96
45,SME,APAC,2025-06-01,11679,186.86,124.8,44,0,192.27
46,Mid-Market,Americas,2025-01-01,138632,1663.58,1169.5,546,0,1630.35
46,Mid-Market,Americas,2025-02-01,142292,1707.5,879.74,285,1,1650.59
46,Mid-Market,Americas,2025-03-01,147548,1770.58,987.52,359,2,1779.04
46,Mid-Market,Americas,2025-04-01,139074,1668.89,837.4,315,4,1602.13
46,Mid-Market,Americas,2025-05-01,129021,1548.25,847.01,460,3,1578.88
46,Mid-Market,Americas,2025-06-01,136506,1638.07,940.32,218,2,1652.55
47,SME,APAC,2025-01-01,18431,294.9,167.12,65,1,295.8
47,SME,APAC,2025-02-01,18087,289.39,141.61,44,0,314.2
47,SME,APAC,2025-03-01,19514,312.22,210.33,74,1,301.98
47,SME,APAC,2025-04-01,17776,284.42,159.84,26,0,281.78
47,SME,APAC,2025-05-01,18997,303.95,190.62,19,1,300.83
47,SME,APAC,2025-06-01,17814,285.02,153.24,32,0,280.11
48,SME,Americas,2025-01-01,17946,287.14,160.43,22,0,277.2
48,SME,Americas,2025-02-01,20274,324.38,232.84,76,0,319.83
48,SME,Americas,2025-03-01,19482,311.71,207.52,64,2,312.59
48,SME,Americas,2025-04-01,20904,334.46,185.3,79,0,349.95
48,SME,Americas,2025-05-01,20373,325.97,163.76,60,0,323.24
48,SME,Americas,2025-06-01,19599,313.58,195.86,69,0,315.57
49,SME,Americas,2025-01-01,9450,151.2,86.83,21,1,152.18
49,SME,Americas,2025-02-01,9719,155.5,86.87,24,0,155.82
49,SME,Americas,2025-03-01,9344,149.5,77.21,19,1,154.29
49,SME,Americas,2025-04-01,9403,150.45,107.23,31,2,151.57
49,SME,Americas,2025-05-01,9753,156.05,105.55,26,0,154.49
49,SME,Americas,2025-06-01,10623,169.97,104.59,33,0,165.16
50,Mid-Market,India,2025-01-01,115427,1385.12,885.23,156,3,1351.48
50,Mid-Market,India,2025-02-01,119717,1436.6,842.19,175,2,1492.68
50,Mid-Market,India,2025-03-01,119462,1433.54,1005.44,150,3,1396.95
50,Mid-Market,India,2025-04-01,109556,1314.67,762.35,172,3,1338.45
50,Mid-Market,India,2025-05-01,113633,1363.6,765.48,337,1,1292.4
50,Mid-Market,India,2025-06-01,115895,1390.74,713.11,227,2,1351.89
51,SME,EMEA,2025-01-01,14646,234.34,127.21,42,0,228.62
51,SME,EMEA,2025-02-01,15709,251.34,167.2,33,2,247.9
51,SME,EMEA,2025-03-01,16498,263.97,130.43,37,2,278.05
51,SME,EMEA,2025-04-01,15445,247.12,126.12,50,0,242.31
51,SME,EMEA,2025-05-01,14945,239.12,150.87,42,3,240.2
51,SME,EMEA,2025-06-01,16612,265.79,182.46,48,0,257.2
52,SME,EMEA,2025-01-01,28926,462.82,320.79,95,0,458.59
52,SME,EMEA,2025-02-01,32396,518.34,336.9,91,0,526.0
52,SME,EMEA,2025-03-01,29573,473.17,309.85,33,0,489.72
52,SME,EMEA,2025-04-01,28938,463.01,306.31,69,0,477.37
52,SME,EMEA,2025-05-01,28715,459.44,278.06,65,1,426.67
52,SME,EMEA,2025-06-01,29322,469.15,268.51,45,0,480.26
53,SME,India,2025-01-01,31710,507.36,247.5,38,0,521.19
53,SME,India,2025-02-01,32655,522.48,374.43,53,0,513.91
53,SME,India,2025-03-01,29230,467.68,289.64,62,1,474.11
53,SME,India,2025-04-01,33038,528.61,363.88,69,1,535.69
53,SME,India,2025-05-01,34302,548.83,359.31,63,1,591.19
53,SME,India,2025-06-01,31233,499.73,250.54,33,0,486.39
54,SME,APAC,2025-01-01,24914,398.62,238.11,62,1,408.5
54,SME,APAC,2025-02-01,25900,414.4,246.42,94,1,410.82
54,SME,APAC,2025-03-01,26061,416.98,236.84,66,0,432.71
54,SME,APAC,2025-04-01,27000,432.0,233.37,56,0,403.24
54,SME,APAC,2025-05-01,27421,438.74,224.68,84,1,442.17
54,SME,APAC,2025-06-01,25501,408.02,200.48,83,1,420.87
55,SME,Americas,2025-01-01,24179,386.86,186.71,67,1,378.83
55,SME,Americas,2025-02-01,28971,463.54,284.27,80,2,447.06
55,SME,Americas,2025-03-01,24001,384.02,235.56,45,0,402.12
55,SME,Americas,2025-04-01,29063,465.01,331.97,65,0,500.33
55,SME,Americas,2025-05-01,28942,463.07,248.58,74,0,474.03
55,SME,Americas,2025-06-01,25464,407.42,214.92,83,0,403.08
56,Mid-Market,India,2025-01-01,75161,901.93,596.86,261,4,858.4
56,Mid-Market,India,2025-02-01,77509,930.11,544.03,253,2,938.73
56,Mid-Market,India,2025-03-01,71673,860.08,530.82,82,3,885.37
56,Mid-Market,India,2025-04-01,76056,912.67,611.18,218,2,920.63
56,Mid-Market,India,2025-05-01,73672,884.06,609.57,223,0,925.85
56,Mid-Market,India,2025-06-01,68616,823.39,540.28,238,3,765.91
57,Mid-Market,APAC,2025-01-01,91786,1101.43,566.49,144,3,1051.13
57,Mid-Market,APAC,2025-02-01,98651,1183.81,799.99,212,2,1124.29
57,Mid-Market,APAC,2025-03-01,89218,1070.62,617.23,102,4,1096.94
57,Mid-Market,APAC,2025-04-01,106046,1272.55,621.17,323,3,1293.21
57,Mid-Market,APAC,2025-05-01,89948,1079.38,656.03,263,2,1017.32
57,Mid-Market,APAC,2025-06-01,87922,1055.06,718.28,126,2,1041.12
58,Mid-Market,Americas,2025-01-01,136222,1634.66,843.87,509,6,1723.74
58,Mid-Market,Americas,2025-02-01,133293,1599.52,1067.76,284,0,1594.03
58,Mid-Market,Americas,2025-03-01,140183,1682.2,983.88,283,2,1723.35
58,Mid-Market,Americas,2025-04-01,134544,1614.53,898.84,253,4,1674.2
58,Mid-Market,Americas,2025-05-01,143292,1719.5,933.64,342,0,1782.32
58,Mid-Market,Americas,2025-06-01,145847,1750.16,1153.73,371,2,1839.77
59,Mid-Market,India,2025-01-01,100901,1210.81,799.43,351,4,1230.55
59,Mid-Market,India,2025-02-01,102838,1234.06,840.01,126,1,1220.31
59,Mid-Market,India,2025-03-01,109575,1314.9,683.54,257,4,1280.58
59,Mid-Market,India,2025-04-01,99452,1193.42,598.26,220,5,1175.98
59,Mid-Market,India,2025-05-01,102328,1227.94,770.42,173,4,1242.27
59,Mid-Market,India,2025-06-01,101974,1223.69,732.53,162,7,1231.08
60,Mid-Market,APAC,2025-01-01,83943,1007.32,503.44,208,4,1045.59
60,Mid-Market,APAC,2025-02-01,80549,966.59,509.98,253,5,975.56
60,Mid-Market,APAC,2025-03-01,77729,932.75,637.18,309,5,879.2
60,Mid-Market,APAC,2025-04-01,79290,951.48,508.27,279,2,925.86
60,Mid-Market,APAC,2025-05-01,71635,859.62,597.3,86,3,849.51
60,Mid-Market,APAC,2025-06-01,68378,820.54,508.47,171,4,858.38
61,SME,India,2025-01-01,28447,455.15,244.56,85,0,456.38
61,SME,India,2025-02-01,25331,405.3,231.63,91,2,419.98
61,SME,India,2025-03-01,26206,419.3,240.84,94,1,418.19
61,SME,India,2025-04-01,25353,405.65,263.79,60,1,399.4
61,SME,India,2025-05-01,27032,432.51,308.5,47,0,434.62
61,SME,India,2025-06-01,28359,453.74,242.45,71,1,440.8
62,SME,Americas,2025-01-01,32653,522.45,271.83,105,1,516.19
62,SME,Americas,2025-02-01,33378,534.05,256.69,63,1,526.61
62,SME,Americas,2025-03-01,34658,554.53,290.33,89,1,525.03
62,SME,Americas,2025-04-01,34606,553.7,289.03,114,0,542.24
62,SME,Americas,2025-05-01,31324,501.18,263.02,78,0,520.53
62,SME,Americas,2025-06-01,30606,489.7,333.47,38,3,496.98
63,SME,APAC,2025-01-01,30127,482.03,267.9,36,1,479.48
63,SME,APAC,2025-02-01,29467,471.47,338.44,43,2,470.41
